row_id,vehicle_count,avg_vehicle_speed_kmph,road_occupancy_pct,pedestrian_count,incident_distance_m
EVT9_00238,19.2,7.6,61.1,2.9,3.5
EVT9_01677,49.9,7.5,77.9,7.6,480.7
EVT9_00486,29.9,10.8,81.1,2.9,4.2
EVT9_00731,30.9,66.3,18.8,0.0,334.5
EVT9_00689,10.8,,43.4,1.8,101.4
EVT9_00388,28.7,29.7,68.2,25.7,65.3
EVT9_01610,16.5,40.9,26.8,2.6,199.9
EVT9_01945,3.3,21.3,6.5,2.2,174.1
EVT9_00266,30.9,18.2,69.8,3.6,42.9
EVT9_01500,14.9,54.3,20.4,14.5,62.6
EVT9_00452,28.3,24.2,56.6,1.9,336.9
EVT9_00773,34.2,8.5,56.5,10.7,59.3
EVT9_00576,3.3,51.8,0.0,0.9,528.1
EVT9_00334,25.6,0.0,42.9,9.0,378.0
EVT9_01841,19.0,13.0,71.0,3.6,41.9
EVT9_00910,2.7,71.1,0.0,0.0,84.9
EVT9_00120,5.6,15.9,39.4,25.9,87.2
EVT9_00196,17.1,,33.2,6.1,419.0
EVT9_01115,48.0,11.3,4.0,13.6,481.4
EVT9_00300,31.9,30.1,27.8,6.8,43.4
EVT9_00101,22.7,42.5,20.0,5.7,60.3
EVT9_01247,35.7,24.6,80.4,8.7,292.2
EVT9_01103,57.2,9.1,77.9,11.3,180.7
EVT9_01048,16.3,8.2,94.2,3.0,249.2
EVT9_00582,29.6,38.0,51.4,4.7,128.1
EVT9_01621,52.1,17.0,46.8,5.3,32.0
EVT9_00761,14.6,35.4,18.5,17.8,38.9
EVT9_00522,3.0,34.7,8.3,1.1,148.1
EVT9_01213,17.5,18.4,55.6,8.4,395.7
EVT9_01996,17.3,0.7,45.0,15.8,2.9
EVT9_01217,12.4,31.0,33.1,2.6,104.9
EVT9_01428,0.9,40.8,55.8,18.6,51.9
EVT9_01880,19.1,7.1,61.3,8.5,65.5
EVT9_00031,11.3,31.7,39.8,8.0,117.4
EVT9_00374,11.4,25.9,27.9,3.3,189.9
EVT9_00473,22.9,6.0,49.3,1.1,18.1
EVT9_01147,32.9,27.9,24.3,5.0,522.1
EVT9_01233,41.3,28.3,39.3,4.7,395.9
EVT9_00923,28.5,27.4,63.5,6.3,25.1
EVT9_01343,24.6,-80.7,26.1,9.4,51.3
