timestamp,station_id,temp_f,wind_mph,precip_in
2024-01-01 00:00:00,WS-02,89.6,15.2,0.21
2024-01-01 01:00:00,WS-03,75.7,2.6,0.78
2024-01-01 02:00:00,WS-03,48.2,20.9,0.45
2024-01-01 03:00:00,WS-01,87.8,20.4,1.69
2024-01-01 04:00:00,WS-02,73.4,13.3,0.62
2024-01-01 05:00:00,WS-01,43.0,3.5,1.98
2024-01-01 06:00:00,WS-02,72.9,0.6,0.08
2024-01-01 07:00:00,WS-03,84.2,19.9,0.26
2024-01-01 08:00:00,WS-01,68.9,15.0,0.45
2024-01-01 09:00:00,WS-01,57.7,17.8,1.62
2024-01-01 10:00:00,WS-01,81.0,7.6,1.76
2024-01-01 11:00:00,WS-03,79.1,12.7,0.14
2024-01-01 12:00:00,WS-01,67.2,18.7,0.06
2024-01-01 13:00:00,WS-03,47.7,11.6,1.49
2024-01-01 14:00:00,WS-02,52.5,15.0,0.27
2024-01-01 15:00:00,WS-03,76.9,19.7,0.27
2024-01-01 16:00:00,WS-02,80.3,5.4,0.04
2024-01-01 17:00:00,WS-03,54.0,1.6,0.1
2024-01-01 18:00:00,WS-03,58.4,13.3,0.53
2024-01-01 19:00:00,WS-01,43.9,1.6,0.13
2024-01-01 20:00:00,WS-03,75.7,19.2,0.74
2024-01-01 21:00:00,WS-01,40.2,18.0,1.67
2024-01-01 22:00:00,WS-02,42.3,22.0,0.65
2024-01-01 23:00:00,WS-02,40.2,16.0,1.46
2024-01-02 00:00:00,WS-01,72.3,1.7,0.19
2024-01-02 01:00:00,WS-02,60.9,6.3,1.32
2024-01-02 02:00:00,WS-03,54.9,20.2,0.63
2024-01-02 03:00:00,WS-01,85.6,4.2,1.5
2024-01-02 04:00:00,WS-01,49.6,17.5,0.27
2024-01-02 05:00:00,WS-01,59.5,19.5,1.8
2024-01-02 06:00:00,WS-02,87.0,8.3,0.49
2024-01-02 07:00:00,WS-02,61.4,8.1,0.71
2024-01-02 08:00:00,WS-03,67.7,13.9,1.9
2024-01-02 09:00:00,WS-03,44.0,21.5,1.16
2024-01-02 10:00:00,WS-01,79.5,5.6,0.73
2024-01-02 11:00:00,WS-03,61.1,23.5,1.9
2024-01-02 12:00:00,WS-02,80.0,15.0,0.66
2024-01-02 13:00:00,WS-03,52.7,24.8,0.19
2024-01-02 14:00:00,WS-02,61.1,2.2,1.99
2024-01-02 15:00:00,WS-03,79.3,3.2,0.54
