row_id,label
EVT_00238,Incident
EVT_01677,Heavy_Traffic
EVT_00486,Incident
EVT_00731,Pedestrian_Event
EVT_00689,Free_Flow
EVT_00388,Heavy_Traffic
EVT_01610,Free_Flow
EVT_01945,Low_Activity
EVT_00266,Heavy_Traffic
EVT_01500,Free_Flow
EVT_00452,Heavy_Traffic
EVT_00773,Heavy_Traffic
EVT_00576,Low_Activity
EVT_00334,Heavy_Traffic
EVT_01841,Heavy_Traffic
EVT_00910,Low_Activity
EVT_00120,Pedestrian_Event
EVT_00196,Free_Flow
EVT_01115,Pedestrian_Event
EVT_00300,Low_Activity
EVT_00101,Free_Flow
EVT_01247,Heavy_Traffic
EVT_01103,Incident
EVT_01048,Heavy_Traffic
EVT_00582,Heavy_Traffic
EVT_01621,Heavy_Traffic
EVT_00761,Pedestrian_Event
EVT_00522,Low_Activity
EVT_01213,Pedestrian_Event
EVT_01996,Heavy_Traffic
EVT_01217,Free_Flow
EVT_01428,Pedestrian_Event
EVT_01880,Incident
EVT_00031,Free_Flow
EVT_00374,Free_Flow
EVT_00473,Heavy_Traffic
EVT_01147,Heavy_Traffic
EVT_01233,Heavy_Traffic
EVT_00923,Incident
EVT_01343,Free_Flow
EVT_00943,Free_Flow
EVT_00822,Heavy_Traffic
EVT_00007,Low_Activity
EVT_00230,Low_Activity
EVT_01757,Heavy_Traffic
EVT_00141,Pedestrian_Event
EVT_00304,Incident
EVT_00478,Free_Flow
EVT_01825,Pedestrian_Event
EVT_00011,Pedestrian_Event
EVT_01943,Low_Activity
EVT_00201,Low_Activity
EVT_00469,Low_Activity
EVT_01082,Pedestrian_Event
EVT_01242,Free_Flow
EVT_00445,Free_Flow
EVT_00086,Low_Activity
EVT_01026,Free_Flow
EVT_00917,Low_Activity
EVT_00895,Heavy_Traffic
EVT_00372,Heavy_Traffic
EVT_01104,Low_Activity
EVT_00355,Pedestrian_Event
EVT_01649,Free_Flow
EVT_00479,Free_Flow
EVT_00794,Heavy_Traffic
EVT_01200,Heavy_Traffic
EVT_00349,Free_Flow
EVT_00767,Heavy_Traffic
EVT_01417,Heavy_Traffic
EVT_01009,Pedestrian_Event
EVT_00937,Incident
EVT_00820,Pedestrian_Event
EVT_00185,Pedestrian_Event
EVT_00274,Pedestrian_Event
EVT_00902,Incident
EVT_00048,Heavy_Traffic
EVT_00666,Low_Activity
EVT_00213,Heavy_Traffic
EVT_01433,Pedestrian_Event
EVT_01006,Heavy_Traffic
EVT_01930,Low_Activity
EVT_01481,Free_Flow
EVT_01827,Low_Activity
EVT_00775,Incident
EVT_00327,Free_Flow
EVT_00381,Low_Activity
EVT_00291,Incident
EVT_01726,Low_Activity
EVT_D0020,Pedestrian_Event
EVT_00778,Low_Activity
EVT_01257,Low_Activity
EVT_01814,Low_Activity
EVT_01820,Low_Activity
EVT_01110,Pedestrian_Event
EVT_01950,Heavy_Traffic
EVT_00060,Pedestrian_Event
EVT_00030,Heavy_Traffic
EVT_01019,Pedestrian_Event
EVT_01934,Incident
EVT_00621,Low_Activity
EVT_00785,Heavy_Traffic
EVT_01269,Low_Activity
EVT_01657,Heavy_Traffic
EVT_00931,Pedestrian_Event
EVT_00235,Free_Flow
EVT_01083,Pedestrian_Event
EVT_01863,Free_Flow
EVT_00262,Free_Flow
EVT_00957,Free_Flow
EVT_00795,Low_Activity
EVT_00413,Heavy_Traffic
EVT_01175,Free_Flow
EVT_00259,Pedestrian_Event
EVT_00131,Low_Activity
EVT_01298,Heavy_Traffic
EVT_01121,Heavy_Traffic
EVT_01705,Pedestrian_Event
EVT_00197,Free_Flow
EVT_01787,Incident
EVT_01501,Low_Activity
EVT_01711,Incident
EVT_00986,Pedestrian_Event
EVT_00507,Pedestrian_Event
EVT_00130,Low_Activity
EVT_01486,Free_Flow
EVT_00497,Heavy_Traffic
EVT_00326,Free_Flow
EVT_01744,Free_Flow
EVT_01848,Heavy_Traffic
EVT_00182,Free_Flow
EVT_00537,Incident
EVT_01842,Heavy_Traffic
EVT_00112,Incident
EVT_01107,Heavy_Traffic
EVT_00969,Free_Flow
EVT_01353,Low_Activity
EVT_01633,Pedestrian_Event
EVT_00554,Free_Flow
EVT_00119,Incident
EVT_01579,Free_Flow
EVT_00894,Incident
EVT_00996,Low_Activity
EVT_00518,Pedestrian_Event
EVT_01758,Free_Flow
EVT_00039,Heavy_Traffic
EVT_01670,Free_Flow
EVT_01923,Low_Activity
EVT_00177,Free_Flow
EVT_01881,Incident
EVT_01047,Pedestrian_Event
EVT_00531,Heavy_Traffic
EVT_01891,Free_Flow
EVT_01165,Low_Activity
EVT_01791,Heavy_Traffic
EVT_01909,Heavy_Traffic
EVT_01409,Heavy_Traffic
EVT_01122,Heavy_Traffic
EVT_00436,Pedestrian_Event
EVT_01188,Low_Activity
EVT_00514,Low_Activity
EVT_01374,Free_Flow
EVT_00690,Incident
EVT_00092,Pedestrian_Event
EVT_01463,Free_Flow
EVT_01472,Pedestrian_Event
EVT_01998,Incident
EVT_00525,Free_Flow
EVT_00847,Heavy_Traffic
EVT_00974,Heavy_Traffic
EVT_00660,Free_Flow
EVT_01099,Heavy_Traffic
EVT_00088,Heavy_Traffic
EVT_01144,Free_Flow
EVT_01970,Incident
EVT_01078,Heavy_Traffic
EVT_01391,Pedestrian_Event
EVT_00933,Incident
EVT_00882,Pedestrian_Event
EVT_00219,Incident
EVT_01525,Free_Flow
EVT_00521,Pedestrian_Event
EVT_01055,Heavy_Traffic
EVT_01478,Free_Flow
EVT_00912,Heavy_Traffic
EVT_00097,Free_Flow
EVT_01546,Free_Flow
EVT_01446,Low_Activity
EVT_01803,Free_Flow
EVT_00639,Free_Flow
EVT_00642,Incident
EVT_01348,Low_Activity
EVT_01337,Free_Flow
EVT_00663,Incident
EVT_01278,Free_Flow
EVT_01895,Low_Activity
EVT_00561,Pedestrian_Event
EVT_01617,Low_Activity
EVT_01597,Heavy_Traffic
EVT_01532,Low_Activity
EVT_01648,Incident
EVT_00584,Low_Activity
EVT_01340,Free_Flow
EVT_01162,Heavy_Traffic
EVT_00246,Incident
EVT_01057,Low_Activity
EVT_00620,Heavy_Traffic
EVT_00717,Heavy_Traffic
EVT_00505,Low_Activity
EVT_00188,Free_Flow
EVT_01093,Pedestrian_Event
EVT_00577,Pedestrian_Event
EVT_00927,Free_Flow
EVT_00450,Incident
EVT_01371,Free_Flow
EVT_00759,Heavy_Traffic
EVT_00596,Heavy_Traffic
EVT_00383,Pedestrian_Event
EVT_00510,Pedestrian_Event
EVT_01999,Heavy_Traffic
EVT_01168,Heavy_Traffic
EVT_01599,Pedestrian_Event
EVT_01719,Low_Activity
EVT_00412,Pedestrian_Event
EVT_00966,Incident
EVT_01040,Pedestrian_Event
EVT_01507,Pedestrian_Event
EVT_01797,Pedestrian_Event
EVT_00122,Incident
EVT_01995,Pedestrian_Event
EVT_00732,Incident
EVT_00655,Incident
EVT_00467,Incident
EVT_00257,Incident
EVT_00457,Incident
EVT_00319,Free_Flow
EVT_01640,Incident
EVT_01111,Pedestrian_Event
EVT_00179,Low_Activity
EVT_01625,Heavy_Traffic
EVT_01783,Free_Flow
EVT_00402,Free_Flow
EVT_01608,Pedestrian_Event
EVT_01431,Pedestrian_Event
EVT_01731,Heavy_Traffic
EVT_00980,Heavy_Traffic
EVT_00118,Pedestrian_Event
EVT_00498,Heavy_Traffic
EVT_00371,Heavy_Traffic
EVT_01941,Heavy_Traffic
EVT_01197,Low_Activity
EVT_00889,Incident
EVT_00892,Incident
EVT_01602,Incident
EVT_00021,Free_Flow
EVT_01774,Free_Flow
EVT_00629,Free_Flow
EVT_01876,Incident
EVT_00555,Pedestrian_Event
EVT_01251,Pedestrian_Event
EVT_00137,Incident
EVT_00685,Incident
EVT_01412,Pedestrian_Event
EVT_01326,Pedestrian_Event
EVT_01959,Free_Flow
EVT_00862,Free_Flow
EVT_00508,Incident
EVT_01436,Free_Flow
EVT_00605,Pedestrian_Event
EVT_00920,Low_Activity
EVT_01822,Free_Flow
EVT_00769,Free_Flow
EVT_00265,Heavy_Traffic
EVT_00105,Heavy_Traffic
EVT_00244,Low_Activity
EVT_00634,Low_Activity
EVT_00044,Free_Flow
EVT_01655,Free_Flow
EVT_01664,Free_Flow
EVT_00352,Free_Flow
EVT_01833,Low_Activity
EVT_00945,Free_Flow
EVT_00287,Low_Activity
EVT_01853,Free_Flow
EVT_00218,Heavy_Traffic
EVT_00002,Incident
EVT_01604,Pedestrian_Event
EVT_01647,Heavy_Traffic
EVT_01905,Heavy_Traffic
EVT_00022,Low_Activity
EVT_00398,Low_Activity
EVT_01130,Heavy_Traffic
EVT_01413,Heavy_Traffic
EVT_00831,Pedestrian_Event
EVT_00734,Heavy_Traffic
EVT_00650,Free_Flow
EVT_00590,Free_Flow
EVT_01750,Free_Flow
EVT_01260,Free_Flow
EVT_01652,Free_Flow
EVT_00411,Free_Flow
EVT_00020,Low_Activity
EVT_01045,Free_Flow
EVT_00384,Pedestrian_Event
EVT_01674,Free_Flow
EVT_01295,Pedestrian_Event
EVT_01901,Incident
